N250_Joe_diff,N250_high_diff,N250_low_diff,Hard performance,Easy IRT
-0.295963079,-0.360271792,-0.347710946,0.81,1.26
-0.610109243,-0.009312252,-0.273979714,0.82,1.45
0.217920117,-0.119720464,0.233551382,0.64,1.12
-0.008969962,-0.092972834,-0.167839527,0.79,1.06
-0.475146246,-0.272435231,-0.445083513,0.62,1.32
-0.145388972,-0.395628144,-0.237369713,0.68,1.02
0.212334511,0.151861912,-0.005117344,0.84,1.23
-0.135645946,-0.271568757,-0.102959365,0.93,1.37
-0.4895989,-0.024339019,-0.316289328,0.8,0.77
-0.150713262,0.102012682,-0.13716244,0.7,1.27
-0.330310474,0.116713088,0.107349446,0.69,0.65
-0.727367356,-0.317518467,-0.042952443,0.71,0.93
-0.362966428,-0.22137778,-0.260443111,0.72,1.05
-0.176129466,-0.007122983,0.294356217,0.78,1.17
0.013916393,0.26698024,0.499917232,0.63,0.85
-0.06199251,-0.18840415,-0.166228421,0.68,0.95
-0.374631265,0.107357822,-0.05736075,0.71,1.26
-0.428584526,-0.217723441,-0.277050883,0.77,1.29
-0.4416087,-0.187960296,-0.269118581,0.88,1.31
-0.017796882,-0.065807707,-0.047047015,0.75,1.07
-0.09714031,-0.008326577,-0.217933251,0.75,1.32
0.158699866,0.028120591,-0.074670213,0.84,1.29
-0.027911075,0.144792893,-0.018732879,0.81,1.05
0.449153331,0.221453166,-0.050034897,0.78,1.33
-0.200523506,-0.277395505,-0.320010722,0.72,1.14
0.412997513,0.451215901,0.286449861,0.6,1.19
0.128263938,0.092152951,0.107153605,0.8,0.97
-0.459052026,-0.309185821,-0.228790719,0.68,1.11
-0.598654487,-0.089043633,-0.191884172,0.71,1.23
0.419212269,0.113003059,0.151619152,0.83,1.2
-0.573958805,-0.089792931,0.001103198,0.73,0.94
-0.378098329,-0.455234297,-0.316570455,0.66,1.12
-0.011467527,-0.233704916,0.044572014,0.73,1.13
-0.132445934,-0.196826096,-0.166120358,0.71,1.02
-0.706050917,-0.394844708,-0.386248516,0.78,1.18
-0.28554113,-0.035348481,-0.188279669,0.81,1.18
-0.131574247,-0.484064636,-0.343531928,0.77,1.17
0.036172094,0.240938664,0.104356791,0.64,0.73
-0.741774695,-0.067801754,-0.188390923,0.65,1.27
